Superorder,Order,Family,Species,Body Mass,Brain Mass,Telencephalon,Diencephalon,Mesencephalon,Cerebellum,Medulla,Reproductive Mode,Trophic Mode,Ecological Lifestyle
,,,Negaprion acutidens,1740,10.07,5.07,0.56,0.97,1.36,2.11,Placental,Matrotrophic,Reef
,,,Prionace glauca,108270,22.89,11.36,1.36,3.53,2.51,4.12,Placental,Matrotrophic,Pelagic
,,,Rhizoprionodon taylori,1426,3.65,1.57,0.32,0.39,0.50,0.87,Placental,Matrotrophic,Pelagic
,,,Scoliodon laticaudus,746,2.04,0.74,0.31,0.13,0.31,0.54,Placental,Matrotrophic,Shelf
,,,Triaenodon obesus,16300,15.36,8.73,0.82,1.38,2.44,1.99,Placental,Matrotrophic,Reef
,,Hemigaleidae,Hemigaleus australiensis,2330,5.17,2.49,0.30,0.67,0.84,0.89,Placental,Matrotrophic,Shelf
,,Pseudotriakidae,Gollum attenuatus,1045,2.78,1.00,0.13,0.31,0.48,0.86,Oophagy,Matrotrophic,Deep
,,Scyliorhinidae,Apristurus sinensis,1450,2.79,0.67,0.18,0.24,0.67,1.02,Egg-Laying,Lecithotrophic,Deep
,,,Asymbolus analis,320,0.94,0.40,0.06,0.12,0.16,0.20,Egg-Laying,Lecithotrophic,Shelf
,,,Asymbolus rubiginosus,260,0.80,0.32,0.05,0.12,0.15,0.16,Egg-Laying,Lecithotrophic,Deep
,,,Bythaelurus dawsoni,200,0.84,0.26,0.04,0.14,0.17,0.23,Yolk-sac Live-bearing,Lecithotrophic,Deep
,,,Cephaloscyllium albipinnum,1067,1.06,0.48,0.11,0.10,0.13,0.25,Egg-Laying,Lecithotrophic,Deep
,,,Cephaloscyllium isabellum,2802,1.78,0.75,0.11,0.23,0.26,0.44,Egg-Laying,Lecithotrophic,Deep
,,,Cephaloscyllium laticeps,180,0.57,0.27,0.03,0.08,0.07,0.13,Egg-Laying,Lecithotrophic,Shelf
,,,Figaro boardmani,200,0.87,0.33,0.06,0.13,0.15,0.20,Egg-Laying,Lecithotrophic,Deep
